Original,,,Hygeia Glove,,,,,,,,,,
Temp,SpO2,Pulse Rate,Temp,SpO2,Pulse Rate,,,,,,,,
36.8,97,100,36.7,100,107,,,,,,,,
37,97,91,36.9,96,87,,,,,,,,
37.1,98,90,37.2,96,98,,,,,,,,
37.3,98,91,37.2,97,92,,,,,,,,
37.3,97,91,37.2,100,92,,,,,,,,
36.7,97,84,36.5,96,87,,,,,,,,
36.6,99,91,36.7,97,86,,,,,,,,
37.4,97,110,37.4,97,104,,,,,,,,
37.1,98,102,36.9,96,97,,,,,,,,
38.2,96,87,38.4,95,81,,,,,,,,
36.7,94,89,36.5,91,86,,,,,,,,
37.6,97,128,37.7,96,118,,,,,,,,
36.8,99,86,37.1,98,84,,,,,,,,
36.8,98,84,37,97,88,,,,,,,,
36.6,98,88,36.5,98,86,,,,,,,,
36.9,99,82,36.7,98,83,,,,,,,,
37.1,99,89,37,98,86,,,,,,,,
37.1,96,93,37,96,91,,,,,,,,
36.9,98,89,36.8,97,88,,,,,,,,
36.8,99,88,37,99,85,,,,,,,,
36.8,98,94,36.7,98,92,,,,,,,,
36.8,97,82,36.6,100,80,,,,,,,,
36.9,98,91,36.8,96,85,,,,,,,,
36.8,98,87,36.7,100,85,,,,,,,,
36.7,98,86,36.7,99,84,,,,,,,,
36.7,99,84,36.7,98,86,,,,,,,,
36.8,98,87,36.7,99,85,,,,,,,,
36.8,97,78,36.8,100,84,,,,,,,,
36.7,98,80,36.7,98,84,,,,,,,,
36.9,99,96,36.7,97,93,,,,,,,,
36.8,97,91,36.8,98,90,,,,,,,,
37.1,99,87,37,96,87,,,,,,,,
36.6,99,85,36.5,97,86,,,,,,,,
36.8,98,86,36.6,97,84,,,,,,,,
36.6,97,82,36.5,96,79,,,,,,,,
36.7,98,84,36.6,98,87,,,,,,,,
36.7,96,81,36.6,98,85,,,,,,,,
36.8,98,83,36.8,97,88,,,,,,,,
36.7,97,86,36.6,97,84,,,,,,,,
36.9,97,88,36.8,96,87,,,,,,,,
36.7,95,89,36.7,93,83,,,,,,,,
36.8,97,95,36.6,98,90,,,,,,,,
